x y z
-10.0 -2.4 0.256802
-9.333333 -2.4 0.4409164
-8.666667 -2.4 0.7755682
-8.0 -2.4 1.330766
-7.333333 -2.4 2.125692
-6.666667 -2.4 3.084094
-6.0 -2.4 4.066992
-5.333333 -2.4 4.958134
-4.666667 -2.4 5.708357
-4.0 -2.4 6.318462
-3.333333 -2.4 6.806953
-2.666667 -2.4 7.191901
-2.0 -2.4 7.485823
-1.333333 -2.4 7.695748
-0.6666667 -2.4 7.824961
0.0 -2.4 7.877153
0.6666667 -2.4 7.853744
1.333333 -2.4 7.754364
2.0 -2.4 7.57557
2.666667 -2.4 7.313863
3.333333 -2.4 6.963161
4.0 -2.4 6.513163
4.666667 -2.4 5.948132
5.333333 -2.4 5.248676
6.0 -2.4 4.404336
6.666667 -2.4 3.441625
7.333333 -2.4 2.453647
8.0 -2.4 1.581361
8.666667 -2.4 0.9342827
9.333333 -2.4 0.5274222
10.0 -2.4 0.3008678
-10.0 -1.8 0.2376012
-9.333333 -1.8 0.4309787
-8.666667 -1.8 0.832724
-8.0 -1.8 1.577054
-7.333333 -1.8 2.720133
-6.666667 -1.8 4.135307
-6.0 -1.8 5.573094
-5.333333 -1.8 6.83921
-4.666667 -1.8 7.87292
-4.0 -1.8 8.695911
-3.333333 -1.8 9.347993
-2.666667 -1.8 9.860379
-2.0 -1.8 10.2518
-1.333333 -1.8 10.53154
-0.6666667 -1.8 10.70396
0.0 -1.8 10.77373
0.6666667 -1.8 10.74265
1.333333 -1.8 10.6104
2.0 -1.8 10.37329
2.666667 -1.8 10.02573
3.333333 -1.8 9.559605
4.0 -1.8 8.960059
4.666667 -1.8 8.201603
5.333333 -1.8 7.246684
6.0 -1.8 6.061375
6.666667 -1.8 4.666384
7.333333 -1.8 3.20691
8.0 -1.8 1.932742
8.666667 -1.8 1.036764
9.333333 -1.8 0.526279
10.0 -1.8 0.2781175
-10.0 -1.2 0.1932909
-9.333333 -1.2 0.3715018
-8.666667 -1.2 0.8103478
-8.0 -1.2 1.732273
-7.333333 -1.2 3.256564
-6.666667 -1.2 5.193853
-6.0 -1.2 7.140719
-5.333333 -1.2 8.804636
-4.666667 -1.2 10.12396
-4.0 -1.2 11.15565
-3.333333 -1.2 11.96741
-2.666667 -1.2 12.60516
-2.0 -1.2 13.09359
-1.333333 -1.2 13.4432
-0.6666667 -1.2 13.65896
0.0 -1.2 13.74621
0.6666667 -1.2 13.70742
1.333333 -1.2 13.54245
2.0 -1.2 13.24735
2.666667 -1.2 12.81485
3.333333 -1.2 12.23507
4.0 -1.2 11.48923
4.666667 -1.2 10.54169
5.333333 -1.2 9.332818
6.0 -1.2 7.793376
6.666667 -1.2 5.923346
7.333333 -1.2 3.925979
8.0 -1.2 2.199786
8.666667 -1.2 1.050762
9.333333 -1.2 0.4635644
10.0 -1.2 0.2224693
-10.0 -0.6 0.1450561
-9.333333 -0.6 0.2948737
-8.666667 -0.6 0.7386436
-8.0 -0.6 1.783041
-7.333333 -0.6 3.618012
-6.666667 -0.6 5.997993
-6.0 -0.6 8.367814
-5.333333 -0.6 10.34564
-4.666667 -0.6 11.87974
-4.0 -0.6 13.06489
-3.333333 -0.6 13.99394
-2.666667 -0.6 14.72468
-2.0 -0.6 15.28598
-1.333333 -0.6 15.68835
-0.6666667 -0.6 15.93678
0.0 -0.6 16.03709
0.6666667 -0.6 15.99242
1.333333 -0.6 15.80287
2.0 -0.6 15.46434
2.666667 -0.6 14.96845
3.333333 -0.6 14.3042
4.0 -0.6 13.45047
4.666667 -0.6 12.36412
5.333333 -0.6 10.96644
6.0 -0.6 9.153211
6.666667 -0.6 6.895336
7.333333 -0.6 4.442893
8.0 -0.6 2.339013
8.666667 -0.6 0.9986663
9.333333 -0.6 0.3755001
10.0 -0.6 0.1605748
-10.0 0.0 0.123868
-9.333333 0.0 0.2590758
-8.666667 0.0 0.698835
-8.0 0.0 1.785673
-7.333333 0.0 3.742082
-6.666667 0.0 6.299469
-6.0 0.0 8.836539
-5.333333 0.0 10.93448
-4.666667 0.0 12.54824
-4.0 0.0 13.7895
-3.333333 0.0 14.76151
-2.666667 0.0 15.52656
-2.0 0.0 16.11495
-1.333333 0.0 16.53701
-0.6666667 0.0 16.7976
0.0 0.0 16.90274
0.6666667 0.0 16.85586
1.333333 0.0 16.65718
2.0 0.0 16.30252
2.666667 0.0 15.78315
3.333333 0.0 15.08773
4.0 0.0 14.19435
4.666667 0.0 13.05721
5.333333 0.0 11.59003
6.0 0.0 9.673414
6.666667 0.0 7.263927
7.333333 0.0 4.629336
8.0 0.0 2.375489
8.666667 0.0 0.9642071
9.333333 0.0 0.3331702
10.0 0.0 0.1330659
-10.0 0.6 0.1450561
-9.333333 0.6 0.2948737
-8.666667 0.6 0.7386436
-8.0 0.6 1.783041
-7.333333 0.6 3.618012
-6.666667 0.6 5.997993
-6.0 0.6 8.367814
-5.333333 0.6 10.34564
-4.666667 0.6 11.87974
-4.0 0.6 13.06489
-3.333333 0.6 13.99394
-2.666667 0.6 14.72468
-2.0 0.6 15.28598
-1.333333 0.6 15.68835
-0.6666667 0.6 15.93678
0.0 0.6 16.03709
0.6666667 0.6 15.99242
1.333333 0.6 15.80287
2.0 0.6 15.46434
2.666667 0.6 14.96845
3.333333 0.6 14.3042
4.0 0.6 13.45047
4.666667 0.6 12.36412
5.333333 0.6 10.96644
6.0 0.6 9.153211
6.666667 0.6 6.895336
7.333333 0.6 4.442893
8.0 0.6 2.339013
8.666667 0.6 0.9986663
9.333333 0.6 0.3755001
10.0 0.6 0.1605748
-10.0 1.2 0.1932909
-9.333333 1.2 0.3715018
-8.666667 1.2 0.8103478
-8.0 1.2 1.732273
-7.333333 1.2 3.256564
-6.666667 1.2 5.193853
-6.0 1.2 7.140719
-5.333333 1.2 8.804636
-4.666667 1.2 10.12396
-4.0 1.2 11.15565
-3.333333 1.2 11.96741
-2.666667 1.2 12.60516
-2.0 1.2 13.09359
-1.333333 1.2 13.4432
-0.6666667 1.2 13.65896
0.0 1.2 13.74621
0.6666667 1.2 13.70742
1.333333 1.2 13.54245
2.0 1.2 13.24735
2.666667 1.2 12.81485
3.333333 1.2 12.23507
4.0 1.2 11.48923
4.666667 1.2 10.54169
5.333333 1.2 9.332818
6.0 1.2 7.793376
6.666667 1.2 5.923346
7.333333 1.2 3.925979
8.0 1.2 2.199786
8.666667 1.2 1.050762
9.333333 1.2 0.4635644
10.0 1.2 0.2224693
-10.0 1.8 0.2376012
-9.333333 1.8 0.4309787
-8.666667 1.8 0.832724
-8.0 1.8 1.577054
-7.333333 1.8 2.720133
-6.666667 1.8 4.135307
-6.0 1.8 5.573094
-5.333333 1.8 6.83921
-4.666667 1.8 7.87292
-4.0 1.8 8.695911
-3.333333 1.8 9.347993
-2.666667 1.8 9.860379
-2.0 1.8 10.2518
-1.333333 1.8 10.53154
-0.6666667 1.8 10.70396
0.0 1.8 10.77373
0.6666667 1.8 10.74265
1.333333 1.8 10.6104
2.0 1.8 10.37329
2.666667 1.8 10.02573
3.333333 1.8 9.559605
4.0 1.8 8.960059
4.666667 1.8 8.201603
5.333333 1.8 7.246684
6.0 1.8 6.061375
6.666667 1.8 4.666384
7.333333 1.8 3.20691
8.0 1.8 1.932742
8.666667 1.8 1.036764
9.333333 1.8 0.526279
10.0 1.8 0.2781175
-10.0 2.4 0.256802
-9.333333 2.4 0.4409164
-8.666667 2.4 0.7755682
-8.0 2.4 1.330766
-7.333333 2.4 2.125692
-6.666667 2.4 3.084094
-6.0 2.4 4.066992
-5.333333 2.4 4.958134
-4.666667 2.4 5.708357
-4.0 2.4 6.318462
-3.333333 2.4 6.806953
-2.666667 2.4 7.191901
-2.0 2.4 7.485823
-1.333333 2.4 7.695748
-0.6666667 2.4 7.824961
0.0 2.4 7.877153
0.6666667 2.4 7.853744
1.333333 2.4 7.754364
2.0 2.4 7.57557
2.666667 2.4 7.313863
3.333333 2.4 6.963161
4.0 2.4 6.513163
4.666667 2.4 5.948132
5.333333 2.4 5.248676
6.0 2.4 4.404336
6.666667 2.4 3.441625
7.333333 2.4 2.453647
8.0 2.4 1.581361
