,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,PremirrorM2.slopeErrorMer,PG.slopeErrorMer,M3.slopeErrorSag,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
71,71,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.1,0.0,0.0,,10700.0,5.35,500.0,0.0480894939121299,0.0110898559708692,0.0096390858195944,74219497304582.2,10.397281387772765,55.62545542458429,771680997934783.4,0.0016104973309119,0.0009005646744328
72,72,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.2,0.3,,10894.0,5.447,500.0,0.0429674867834819,0.0113823288572511,0.0097480051050003,75565159218328.84,11.636705737981766,63.38513615478667,879329521867432.9,0.0016396970021452,0.0009168926694646
73,73,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.2,0.1,,10868.0,5.434,500.0,0.0422809262013288,0.0112984049376358,0.0096374732957942,75384812776280.33,11.825663364590287,64.26065472318362,891475418694956.0,0.0016357836441449,0.0009147043814707
74,74,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.2,0.0,,10652.0,5.3260000000000005,500.0,0.041312264998794,0.0119580584401442,0.0096144777026468,73886550026954.17,12.102943278820364,64.46027590299725,894244724043949.5,0.0016032726699881,0.0008965247581363
75,75,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.05,0.3,,10875.0,5.4375,500.0,0.0446815871403032,0.0098129242964236,0.0096656747437421,75433367587601.08,11.190291840573297,60.847211883117296,844121397822498.5,0.0016368372405296,0.0009152935359306
76,76,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.05,0.1,,10986.0,5.493,500.0,0.0409631594736197,0.0107715123329723,0.0096471523454648,76203308167115.9,12.206089726111092,67.04805086552824,930144416914311.0,0.0016535442689157,0.0009246358423663
77,77,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.05,0.0,,10801.0,5.4005,500.0,0.0410345628248478,0.0113210641006907,0.0099440899448782,74920073867924.53,12.184850174576068,65.80428336779805,912889875148832.0,0.0016256992216055,0.0009090653316401
78,78,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.0,0.3,,10634.0,5.317,500.0,0.0442790522217251,0.0110308099561126,0.0096731625375088,73761694797843.67,11.292021281220636,60.03967715225013,832918627396152.2,0.0016005634221417,0.0008950097895251
79,79,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.0,0.1,,10910.0,5.455,500.0,0.0422073876623585,0.0107389669361306,0.0096206620690489,75676141644204.86,11.846267388064645,64.62138860189263,896479808814304.8,0.0016421052224531,0.0009182393082301
80,80,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.5,0.0,0.0,0.0,0.0,,10669.0,5.334499999999999,500.0,0.0451104324526454,0.0111315177642392,0.009595655436364,74004468854447.44,11.083910590413282,59.12712104455965,820258916073719.9,0.0016058314040653,0.0008979555618247
81,81,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.0,0.2,0.3,0.2,0.3,,10766.0,5.383,500.0,0.0394122760958453,0.0126475707129255,0.0095784674669225,74677299811320.75,12.68640255092266,68.29090493161668,947386286822356.0,0.001620431239682,0.0009061195593406
82,82,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.0,0.2,0.3,0.2,0.1,,10671.0,5.3355,500.0,0.0432935446410738,0.0093543988874289,0.0089037075897271,74018341657681.94,11.549065897589632,61.62004109658948,854842705434872.4,0.0016061324316038,0.0008981238916704
83,83,0.03,500.0,2.25,1,200000.0,0.5,0.05,0.05,0.0,0.2,0.3,0.2,0.0,,10884.0,5.442,500.0,0.044665961840451,0.0111910628389119,0.0097348047705646,75495795202156.34,11.194206491870125,60.91887172875722,845115520760875.9,0.0016381918644528,0.0009160510202362
