,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
1472,1472,0.02,4988,2,500000.0,5.87082676854724,,500000.0,100.0,4988.0,4.981886899966412,0.1790414725809576,0.0272713658727082,,1.0012270651976525,100.12270651976525,,,
1473,1473,0.02,4992,2,500000.0,5.87940371745893,,500000.0,100.0,4992.0,4.991157724873119,0.1761276799588686,0.0266296682117642,,1.0001687534582775,100.01687534582776,,,
1474,1474,0.02,4996,2,500000.0,5.8407075742844,,500000.0,100.0,4996.0,4.993977699254174,0.1779707014041747,0.0274077165317066,,1.0004049478927646,100.04049478927648,,,
1475,1475,0.02,5000,2,500000.0,5.84872461721787,,500000.0,100.0,5000.0,4.999313478710974,0.1756792205828275,0.0262686373055092,,1.0001373231128534,100.01373231128532,,,
1476,1476,0.02,5004,2,500000.0,5.85630405926947,,500000.0,100.0,5004.0,5.00179660012418,0.1802922852235806,0.0270061355683356,,1.0004405216869006,100.04405216869006,,,
1477,1477,0.02,5008,2,500000.0,5.86355946844496,,500000.0,100.0,5008.0,5.0068068258269705,0.1779065729395705,0.0274913578384705,,1.000238310407119,100.0238310407119,,,
1478,1478,0.02,5012,2,500000.0,5.87060594974379,,500000.0,100.0,5012.0,5.006820856684499,0.1775743812014704,0.0267785135131648,,1.0010344175403414,100.10344175403417,,,
1479,1479,0.02,5016,2,500000.0,5.87732309837458,,500000.0,100.0,5016.0,5.012566458581205,0.1759040188810858,0.0267805393583454,,1.0006849867123293,100.06849867123292,,,
1480,1480,0.02,5020,2,500000.0,5.88370805533401,,500000.0,100.0,5020.0,5.013934326598246,0.1766467742250204,0.026910122150798,,1.0012097632331511,100.12097632331512,,,
1481,1481,0.02,5024,2,500000.0,5.88975807021626,,500000.0,100.0,5024.0,5.023112296787076,0.1764787136354995,0.0272179510072099,,1.0001767237442594,100.01767237442594,,,
1482,1482,0.02,5028,2,500000.0,5.89535113181971,,500000.0,100.0,5028.0,5.026986107040102,0.1768875485134907,0.0272024176819776,,1.0002016900262525,100.0201690026252,,,
1483,1483,0.02,5032,2,500000.0,5.90072318353786,,500000.0,100.0,5032.0,5.030643148900708,0.1796952196681411,0.026987533973274,,1.000269717222854,100.02697172228542,,,
1484,1484,0.02,5036,2,500000.0,5.95412489714671,,500000.0,100.0,5036.0,5.034316417892114,0.1744318877261431,0.0270601372166248,,1.0003344211940877,100.03344211940876,,,
1485,1485,0.02,5040,2,500000.0,5.95890954426831,,500000.0,100.0,5040.0,5.038777731899245,0.197813781264548,0.0274669665253493,,1.0002425723391244,100.02425723391244,,,
1486,1486,0.02,5044,2,500000.0,5.96346383366816,,500000.0,100.0,5044.0,5.043628889136016,0.1783280592911677,0.0271533522533975,,1.000073580128939,100.00735801289392,,,
1487,1487,0.02,5048,2,500000.0,5.9675409677359,,500000.0,100.0,5048.0,5.04764998963492,0.1774069613076843,0.0269781666337996,,1.0000693412510375,100.00693412510375,,,
1488,1488,0.02,5052,2,500000.0,5.97126119034715,,500000.0,100.0,5052.0,5.051148027961972,0.1769045630971355,0.0264801298905192,,1.0001686689903586,100.01686689903588,,,
1489,1489,0.02,5056,2,500000.0,5.97462265476542,,500000.0,100.0,5056.0,5.054810701358292,0.1747029410149991,0.0272054264381111,,1.00023528054995,100.02352805499498,,,
1490,1490,0.02,5060,2,500000.0,5.97762364573449,,500000.0,100.0,5060.0,5.0443800154334895,0.1751833441809744,0.0274651036260482,,1.003096512260916,100.3096512260916,,,
1491,1491,0.02,5064,2,500000.0,5.98026258121263,,500000.0,100.0,5064.0,5.063142244081973,0.1735327388258947,0.0266866707694631,,1.0001694117756674,100.01694117756676,,,
1492,1492,0.02,5068,2,500000.0,5.98253801399721,,500000.0,100.0,5068.0,5.051231356615062,0.1782433993394971,0.0270954446904027,,1.0033197139867644,100.33197139867646,,,
