Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
443,0.02,1388,2,500000.0,1.58056324910895
444,0.02,1390,2,500000.0,1.58247310910813
445,0.02,1392,2,500000.0,1.58350413155677
446,0.02,1394,2,500000.0,1.58453856906118
447,0.02,1396,2,500000.0,1.58557197542434
448,0.02,1398,2,500000.0,1.58660654670593
449,0.02,1400,2,500000.0,1.58764002600254
450,0.02,1402,2,500000.0,1.58867462374292
451,0.02,1404,2,500000.0,1.58971032383046
452,0.02,1406,2,500000.0,1.59074484667151
453,0.02,1408,2,500000.0,1.59178269516596
454,0.02,1410,2,500000.0,1.59281931861216
455,0.02,1412,2,500000.0,1.59385696366851
456,0.02,1414,2,500000.0,1.59489332028164
457,0.02,1416,2,500000.0,1.59593295038997
458,0.02,1418,2,500000.0,1.59697124291797
459,0.02,1420,2,500000.0,1.59801278952994
460,0.02,1422,2,500000.0,1.59905294879362
461,0.02,1424,2,500000.0,1.60009401134903
462,0.02,1426,2,500000.0,1.60113362100295
463,0.02,1428,2,500000.0,1.60217408315186
464,0.02,1430,2,500000.0,1.60415791703261
465,0.02,1432,2,500000.0,1.60520308304591
466,0.02,1434,2,500000.0,1.6062490536883
467,0.02,1436,2,500000.0,1.60729581042874
468,0.02,1438,2,500000.0,1.60834333459219
469,0.02,1440,2,500000.0,1.6093916073593
470,0.02,1442,2,500000.0,1.61044060976595
471,0.02,1444,2,500000.0,1.61148790978604
472,0.02,1446,2,500000.0,1.61253830623567
473,0.02,1448,2,500000.0,1.61358694609894
474,0.02,1450,2,500000.0,1.61463622269755
475,0.02,1452,2,500000.0,1.61568611629009
476,0.02,1454,2,500000.0,1.61673660698881
477,0.02,1456,2,500000.0,1.61778767475916
478,0.02,1458,2,500000.0,1.61883929941956
479,0.02,1460,2,500000.0,1.61989146064109
480,0.02,1462,2,500000.0,1.62094413794722
481,0.02,1464,2,500000.0,1.62199731071351
482,0.02,1466,2,500000.0,1.6230534572135
483,0.02,1468,2,500000.0,1.62511154282261
484,0.02,1470,2,500000.0,1.6261692650852
485,0.02,1472,2,500000.0,1.62722740485192
486,0.02,1474,2,500000.0,1.62828594070926
487,0.02,1476,2,500000.0,1.62934485109385
488,0.02,1478,2,500000.0,1.630404114292
489,0.02,1480,2,500000.0,1.63146370843972
490,0.02,1482,2,500000.0,1.63252361152239
491,0.02,1484,2,500000.0,1.63358637842757
492,0.02,1486,2,500000.0,1.63464684081556
493,0.02,1488,2,500000.0,1.63571013845086
494,0.02,1490,2,500000.0,1.63677367170429
495,0.02,1492,2,500000.0,1.63783741784768
496,0.02,1494,2,500000.0,1.63890135400087
497,0.02,1496,2,500000.0,1.63996545713164
498,0.02,1498,2,500000.0,1.64102970405558
499,0.02,1500,2,500000.0,1.642094071436
500,0.02,1502,2,500000.0,1.64315853578386
501,0.02,1504,2,500000.0,1.6452904916716
502,0.02,1506,2,500000.0,1.64636106025239
503,0.02,1508,2,500000.0,1.64743167618473
504,0.02,1510,2,500000.0,1.64850231535038
505,0.02,1512,2,500000.0,1.64957565182227
506,0.02,1514,2,500000.0,1.65064897951052
507,0.02,1516,2,500000.0,1.65172227387316
