Simulation Number,ExitSlit.totalHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor
335,0.05,1172,2,500000.0,1.46973531897488
336,0.05,1174,2,500000.0,1.47073646321198
337,0.05,1176,2,500000.0,1.47173670547976
338,0.05,1178,2,500000.0,1.47273898751857
339,0.05,1180,2,500000.0,1.47374179461199
340,0.05,1182,2,500000.0,1.47474509520611
341,0.05,1184,2,500000.0,1.47575037044348
342,0.05,1186,2,500000.0,1.47675608714604
343,0.05,1188,2,500000.0,1.47776221296867
344,0.05,1190,2,500000.0,1.47877024617299
345,0.05,1192,2,500000.0,1.47977863496802
346,0.05,1194,2,500000.0,1.48078734621102
347,0.05,1196,2,500000.0,1.48179634647912
348,0.05,1198,2,500000.0,1.4828071570477
349,0.05,1200,2,500000.0,1.48319437300648
350,0.05,1202,2,500000.0,1.48420475439885
351,0.05,1204,2,500000.0,1.48521530770648
352,0.05,1206,2,500000.0,1.48622757457007
353,0.05,1208,2,500000.0,1.48723995589556
354,0.05,1210,2,500000.0,1.48825400503234
355,0.05,1212,2,500000.0,1.48926811018473
356,0.05,1214,2,500000.0,1.49028223560492
357,0.05,1216,2,500000.0,1.4912979522915
358,0.05,1218,2,500000.0,1.49231524247742
359,0.05,1220,2,500000.0,1.49333246877473
360,0.05,1222,2,500000.0,1.49435122001166
361,0.05,1224,2,500000.0,1.49536984590391
362,0.05,1226,2,500000.0,1.49639158535862
363,0.05,1228,2,500000.0,1.49741314953109
364,0.05,1230,2,500000.0,1.49843450056669
365,0.05,1232,2,500000.0,1.49945725730592
366,0.05,1234,2,500000.0,1.50047973695248
367,0.05,1236,2,500000.0,1.50150524007057
368,0.05,1238,2,500000.0,1.50253041380156
369,0.05,1240,2,500000.0,1.50355521895399
370,0.05,1242,2,500000.0,1.50458299346498
371,0.05,1244,2,500000.0,1.50561034569257
372,0.05,1246,2,500000.0,1.50664063868267
373,0.05,1248,2,500000.0,1.50767045479915
374,0.05,1250,2,500000.0,1.50870146793132
375,0.05,1252,2,500000.0,1.5097319357879
376,0.05,1254,2,500000.0,1.51076527197642
377,0.05,1256,2,500000.0,1.51179800642081
378,0.05,1258,2,500000.0,1.51283183788022
379,0.05,1260,2,500000.0,1.5138667440428
380,0.05,1262,2,500000.0,1.51490270238743
381,0.05,1264,2,500000.0,1.51593969018288
382,0.05,1266,2,500000.0,1.51697768448707
383,0.05,1268,2,500000.0,1.51801666214643
384,0.05,1270,2,500000.0,1.51905659979505
385,0.05,1272,2,500000.0,1.52009568747829
386,0.05,1274,2,500000.0,1.52113746751033
387,0.05,1276,2,500000.0,1.52218013613689
388,0.05,1278,2,500000.0,1.52322186278456
389,0.05,1280,2,500000.0,1.52426622902487
390,0.05,1282,2,500000.0,1.52531141053088
391,0.05,1284,2,500000.0,1.5263117233302
392,0.05,1286,2,500000.0,1.52730880463685
393,0.05,1288,2,500000.0,1.52830626747888
394,0.05,1290,2,500000.0,1.52930408515429
395,0.05,1292,2,500000.0,1.53030223075496
396,0.05,1294,2,500000.0,1.53129881834037
397,0.05,1296,2,500000.0,1.532297531686
398,0.05,1298,2,500000.0,1.53329649098086
399,0.05,1300,2,500000.0,1.53429754702107
400,0.05,1302,2,500000.0,1.53529692139643
401,0.05,1304,2,500000.0,1.53629834964715
402,0.05,1306,2,500000.0,1.53729992492241
403,0.05,1308,2,500000.0,1.5383035237109
404,0.05,1310,2,500000.0,1.53930531389456
405,0.05,1312,2,500000.0,1.54030908324773
406,0.05,1314,2,500000.0,1.54208371439964
407,0.05,1316,2,500000.0,1.54309022742337
408,0.05,1318,2,500000.0,1.54409867372624
409,0.05,1320,2,500000.0,1.5451051452317
410,0.05,1322,2,500000.0,1.54611350370685
411,0.05,1324,2,500000.0,1.54712373924501
412,0.05,1326,2,500000.0,1.54813190264418
413,0.05,1328,2,500000.0,1.54914387208222
414,0.05,1330,2,500000.0,1.55015370800875
415,0.05,1332,2,500000.0,1.55116533905378
416,0.05,1334,2,500000.0,1.5521767576442
417,0.05,1336,2,500000.0,1.55318993615132
418,0.05,1338,2,500000.0,1.55420084231418
419,0.05,1340,2,500000.0,1.55521345874571
420,0.05,1342,2,500000.0,1.55622777412061
421,0.05,1344,2,500000.0,1.5572417456313
422,0.05,1346,2,500000.0,1.55825737918479
423,0.05,1348,2,500000.0,1.55927261778023
424,0.05,1350,2,500000.0,1.56028948085293
425,0.05,1352,2,500000.0,1.56130589714653
426,0.05,1354,2,500000.0,1.56314920192325
427,0.05,1356,2,500000.0,1.56416950654452
428,0.05,1358,2,500000.0,1.56519136657115
429,0.05,1360,2,500000.0,1.56621058572968
430,0.05,1362,2,500000.0,1.5672334053583
431,0.05,1364,2,500000.0,1.56825562177366
432,0.05,1366,2,500000.0,1.56927720053429
433,0.05,1368,2,500000.0,1.57030022715821
434,0.05,1370,2,500000.0,1.57132468816069
435,0.05,1372,2,500000.0,1.57234843546247
436,0.05,1374,2,500000.0,1.57337571707852
437,0.05,1376,2,500000.0,1.57440009418299
438,0.05,1378,2,500000.0,1.57542797761448
439,0.05,1380,2,500000.0,1.57645288509541
440,0.05,1382,2,500000.0,1.5774790998375
441,0.05,1384,2,500000.0,1.57850660727466
442,0.05,1386,2,500000.0,1.57953539270924
443,0.05,1388,2,500000.0,1.58056324910895
444,0.05,1390,2,500000.0,1.58247310910813
445,0.05,1392,2,500000.0,1.58350413155677
446,0.05,1394,2,500000.0,1.58453856906118
447,0.05,1396,2,500000.0,1.58557197542434
448,0.05,1398,2,500000.0,1.58660654670593
449,0.05,1400,2,500000.0,1.58764002600254
450,0.05,1402,2,500000.0,1.58867462374292
451,0.05,1404,2,500000.0,1.58971032383046
452,0.05,1406,2,500000.0,1.59074484667151
453,0.05,1408,2,500000.0,1.59178269516596
454,0.05,1410,2,500000.0,1.59281931861216
455,0.05,1412,2,500000.0,1.59385696366851
456,0.05,1414,2,500000.0,1.59489332028164
457,0.05,1416,2,500000.0,1.59593295038997
458,0.05,1418,2,500000.0,1.59697124291797
459,0.05,1420,2,500000.0,1.59801278952994
460,0.05,1422,2,500000.0,1.59905294879362
461,0.05,1424,2,500000.0,1.60009401134903
462,0.05,1426,2,500000.0,1.60113362100295
463,0.05,1428,2,500000.0,1.60217408315186
464,0.05,1430,2,500000.0,1.60415791703261
465,0.05,1432,2,500000.0,1.60520308304591
466,0.05,1434,2,500000.0,1.6062490536883
467,0.05,1436,2,500000.0,1.60729581042874
468,0.05,1438,2,500000.0,1.60834333459219
469,0.05,1440,2,500000.0,1.6093916073593
470,0.05,1442,2,500000.0,1.61044060976595
471,0.05,1444,2,500000.0,1.61148790978604
472,0.05,1446,2,500000.0,1.61253830623567
473,0.05,1448,2,500000.0,1.61358694609894
474,0.05,1450,2,500000.0,1.61463622269755
475,0.05,1452,2,500000.0,1.61568611629009
476,0.05,1454,2,500000.0,1.61673660698881
477,0.05,1456,2,500000.0,1.61778767475916
478,0.05,1458,2,500000.0,1.61883929941956
479,0.05,1460,2,500000.0,1.61989146064109
480,0.05,1462,2,500000.0,1.62094413794722
481,0.05,1464,2,500000.0,1.62199731071351
482,0.05,1466,2,500000.0,1.6230534572135
483,0.05,1468,2,500000.0,1.62511154282261
484,0.05,1470,2,500000.0,1.6261692650852
485,0.05,1472,2,500000.0,1.62722740485192
486,0.05,1474,2,500000.0,1.62828594070926
487,0.05,1476,2,500000.0,1.62934485109385
488,0.05,1478,2,500000.0,1.630404114292
489,0.05,1480,2,500000.0,1.63146370843972
