,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.cFactor,PG.orderDiffraction,CPMU20.numberRays,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,AXUVCurrentAmp1,GaAsPCurrentAmp1
44,44,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,12087.69,6.043844999999997,500.0,0.0419366699186229,0.007289108982099,0.0096394575121715,-0.0002764026385577,2.2342700149929422e-06,83845072464824.73,11.950581367828306,72.22365504939376,1001944555376738.8,0.0018193637833541,0.0010173594962145
45,45,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,12091.29,6.045645,500.0,0.0422515772158857,0.0072684137634693,0.0096468391994157,-0.0002805364800599,4.346174663282627e-06,83870043510646.92,11.85927000626512,71.70067312307786,994689330017758.8,0.0018199056329234,0.0010176624899367
46,46,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,12087.88,6.043940000000001,500.0,0.0420995803888416,0.0072438732365031,0.0096446193509054,-0.0002778315681484,6.009208792821045e-06,83846390381132.05,11.903753997861118,71.94725207780213,998110071338416.8,0.0018193923809703,0.0010173754875498
47,47,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,,12084.27,6.042135000000002,500.0,0.0420803183968945,0.0071819155313676,0.00966220434878,-0.0002849144683795,1.4284114032305972e-06,83821349971293.8,11.904789905104986,71.9268365757776,997826851095897.2,0.0018188490262633,0.0010170716521783
48,48,0.03,500.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,12075.32,6.037660000000001,500.0,0.0423212653830654,0.0071751364724385,0.0097345298374117,-0.0002769348198474,6.587508364919948e-06,83759269176819.4,11.841625221373793,71.4962298916652,991853129295745.2,0.0018175019280286,0.0010163183761189
49,49,0.03,750.0,2.25,1,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15986.24,7.993120000000001,750.0,0.0769879349298594,0.0072230692345436,0.0096442690226066,-0.0002538746515574,-2.2490765869750223e-06,90404301570932.31,9.756253977420169,77.98268979502288,882004849863597.1,0.0029535117897124,0.0016697844634489
50,50,0.03,750.0,2.25,1,200000.0,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,,15971.62,7.98581,750.0,0.0784781319719706,0.0091462315254019,0.0096139245222853,-0.0002451772840726,4.220913524738987e-07,90321623537262.95,9.579302417852702,76.49951759009457,865229779891425.2,0.0029508106953734,0.0016682573846076
51,51,0.03,750.0,2.25,1,200000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15997.12,7.998560000000001,750.0,0.0772016938728256,0.0074618205750055,0.009643516404152,-0.0002533787959817,-1.907739900286492e-06,90465829409942.08,9.733334465136162,77.85111856721484,880516744473359.9,0.0029555219064298,0.0016709208942145
52,52,0.03,750.0,2.25,1,200000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15998.35,7.999175000000001,750.0,0.0768474466479642,0.0090111112067708,0.009637502076271,-0.0002417036878175,4.998825684073491e-07,90472785222624.28,9.773198877003209,78.17757055818949,884209002845622.4,0.0029557491530807,0.0016710493693838
53,53,0.03,750.0,2.25,1,200000.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15972.96,7.986480000000001,750.0,0.0768829793231657,0.0105946496354661,0.0096415450107116,-0.0002363252680569,-1.064771392754733e-06,90329201414493.9,9.772264943153449,78.04939126660663,882759261151339.4,0.0029510582648956,0.0016683973494262
